name,url,category,categoryKorean,region,language,stars,forks,trendScore,trendScopes,compareScore,maturity,evidence,fileCount,dirCount,sourceDepthScore,keyReferenceCount,features,dominantBuckets,dependencyGroups,commandCategories,riskCategories,risks,standout,sourceDeepDivePath,reportPath,localPath
agentgateway/agentgateway,https://github.com/agentgateway/agentgateway,agent-harness-mcp,에이전트 하네스/MCP,korea,Rust,3339,546,174,global;korea,489,solid,source+report,1796,351,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;observability,eval;security;mcp;agentRuntime;container,llmProviders;agentProtocols;developerSurface;observability,utility;container;build;quality;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/9/agentgateway__agentgateway.md,reports/global-trending/repositories/agentgateway__agentgateway.md,sources/agentgateway__agentgateway
apache/devlake,https://github.com/apache/devlake,llm-wiki-rag,LLM 위키/RAG/지식베이스,global,Go,3039,764,135,global,431,solid,source+report,4287,706,128,12,cli-first;api/server;agent-runtime;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;ci;retrieval;agentRuntime;docs,,serve-dev;build;container;utility,,,RAG/memory 구현과 검증 표면을 같이 가진 지식 시스템형 레포,reports/source-deep-dives/repositories/a/apache__devlake.md,reports/global-trending/repositories/apache__devlake.md,sources/apache__devlake
awslabs/aidlc-workflows,https://github.com/awslabs/aidlc-workflows.git,agent-harness-mcp,에이전트 하네스/MCP,global,Python,2968,484,153,global,453,high-signal,deep-source+report,554,151,128,12,api/server;agent-runtime;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;spec;agentRuntime;docs;security,,,,,RAG/memory 구현과 검증 표면을 같이 가진 지식 시스템형 레포,reports/source-deep-dives/repositories/2/awslabs__aidlc-workflows.md,reports/global-trending/repositories/awslabs__aidlc-workflows.md,sources/awslabs__aidlc-workflows
spiceai/spiceai,https://github.com/spiceai/spiceai,ai-infrastructure-serving,AI 인프라/서빙,global,Rust,2960,200,141,global,436,high-signal,source+report,15000,324,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;retrieval;agentRuntime;docs;config,llmProviders;agentProtocols;modelRuntime;developerSurface;observability,utility;build;serve-dev;test,,scan truncated at 15000 files;ci path not obvious,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/spiceai__spiceai.md,reports/global-trending/repositories/spiceai__spiceai.md,sources/spiceai__spiceai
kenn-io/agentsview,https://github.com/kenn-io/agentsview,llm-wiki-rag,LLM 위키/RAG/지식베이스,global,Go,2796,241,168,global,479,high-signal,source+report,1067,106,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;agentRuntime;spec;security;retrieval,agentProtocols;developerSurface;observability,utility;build;serve-dev;quality;container;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/4/kenn-io__agentsview.md,reports/global-trending/repositories/kenn-io__agentsview.md,sources/kenn-io__agentsview
datopian/portaljs,https://github.com/datopian/portaljs,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,2282,332,148,global,450,high-signal,source+report,2325,347,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,docs;retrieval;eval;config;agentRuntime,webRuntime,utility;build,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/a/datopian__portaljs.md,reports/global-trending/repositories/datopian__portaljs.md,sources/datopian__portaljs
Light-Heart-Labs/DreamServer,https://github.com/Light-Heart-Labs/DreamServer,ai-infrastructure-serving,AI 인프라/서빙,global,Shell,2079,319,154,global,454,solid,source+report,1144,178,128,12,cli-first;api/server;agent-runtime;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;docs;container;agentRuntime;retrieval,,,,,RAG/memory 구현과 검증 표면을 같이 가진 지식 시스템형 레포,reports/source-deep-dives/repositories/3/Light-Heart-Labs__DreamServer.md,reports/global-trending/repositories/Light-Heart-Labs__DreamServer.md,sources/Light-Heart-Labs__DreamServer
matrixorigin/matrixone,https://github.com/matrixorigin/matrixone,llm-wiki-rag,LLM 위키/RAG/지식베이스,global,Go,1847,299,173,global,483,high-signal,source+report,6458,682,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;retrieval;docs;agentRuntime;config,agentProtocols;agentFrameworks;developerSurface;observability,utility;build,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/0/matrixorigin__matrixone.md,reports/global-trending/repositories/matrixorigin__matrixone.md,sources/matrixorigin__matrixone
google/adk-docs,https://github.com/google/adk-docs,agent-harness-mcp,에이전트 하네스/MCP,global,Shell,1408,1096,149,global,444,solid,source+report,3427,717,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,docs;agentRuntime;retrieval;mcp;eval,developerSurface,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/f/google__adk-docs.md,reports/global-trending/repositories/google__adk-docs.md,sources/google__adk-docs
aws-samples/generative-ai-use-cases,https://github.com/aws-samples/generative-ai-use-cases,llm-wiki-rag,LLM 위키/RAG/지식베이스,global,TypeScript,1354,431,133,global,425,solid,source+report,968,145,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,docs;agentRuntime;retrieval;config;eval,,build;test;quality;serve-dev;utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/1/aws-samples__generative-ai-use-cases.md,reports/global-trending/repositories/aws-samples__generative-ai-use-cases.md,sources/aws-samples__generative-ai-use-cases
SpharxTeam/AgentOS,https://github.com/SpharxTeam/AgentOS,agent-harness-mcp,에이전트 하네스/MCP,global,C,1247,114,135,global,427,high-signal,source+report,1830,537,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;model-runtime,eval;agentRuntime;docs;security;retrieval,vectorStores;modelRuntime;developerSurface;observability,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/8/SpharxTeam__AgentOS.md,reports/global-trending/repositories/SpharxTeam__AgentOS.md,sources/SpharxTeam__AgentOS
semantica-agi/semantica,https://github.com/semantica-agi/semantica,llm-wiki-rag,LLM 위키/RAG/지식베이스,korea,Python,1225,185,154,global,453,high-signal,source+report,904,137,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;model-runtime,eval;retrieval;agentRuntime;docs;mcp,llmProviders;agentProtocols;vectorStores;modelRuntime;webRuntime;developerSurface;observability,utility;serve-dev,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/2/semantica-agi__semantica.md,reports/global-trending/repositories/semantica-agi__semantica.md,sources/semantica-agi__semantica
ZHangZHengEric/Sage,https://github.com/ZHangZHengEric/Sage,agent-harness-mcp,에이전트 하네스/MCP,global,Python,1206,100,140,global,433,high-signal,source+report,2049,396,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;web-runtime,agentRuntime;retrieval;eval;spec;docs,llmProviders;agentProtocols;vectorStores;webRuntime;observability;browserAutomation,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/2/ZHangZHengEric__Sage.md,reports/global-trending/repositories/ZHangZHengEric__Sage.md,sources/ZHangZHengEric__Sage
apecloud/ApeRAG,https://github.com/apecloud/ApeRAG,agent-harness-mcp,에이전트 하네스/MCP,mixed,Python,1193,132,0,,237,high-signal,source+report,1196,203,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;model-runtime,docs;eval;retrieval;container;spec,llmProviders;agentProtocols;agentFrameworks;vectorStores;modelRuntime;webRuntime;observability,utility;serve-dev;container,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/9/apecloud__ApeRAG.md,reports/llm-wiki/repositories/apecloud__ApeRAG.md,sources/apecloud__ApeRAG
future-agi/future-agi,https://github.com/future-agi/future-agi,agent-harness-mcp,에이전트 하네스/MCP,global,Python,1182,260,134,global,422,solid,source+report,8102,1292,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;retrieval;security;mcp,,utility;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/4/future-agi__future-agi.md,reports/global-trending/repositories/future-agi__future-agi.md,sources/future-agi__future-agi
Zoo-Code-Org/Zoo-Code,https://github.com/Zoo-Code-Org/Zoo-Code,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,1009,136,142,global,435,solid,source+report,2412,391,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,eval;spec;agentRuntime;entrypoints;retrieval,developerSurface,utility;quality;test;build;serve-dev,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/3/Zoo-Code-Org__Zoo-Code.md,reports/global-trending/repositories/Zoo-Code-Org__Zoo-Code.md,sources/Zoo-Code-Org__Zoo-Code
daangn/seed-design,https://github.com/daangn/seed-design,general-ai-open-source,일반 AI 오픈소스,korea,TypeScript,889,56,106,korea,383,solid,source+report,5561,727,128,12,monorepo;cli-first;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions;web-runtime,docs;agentRuntime;retrieval;spec;config,webRuntime,build;quality;utility;test;container;serve-dev,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/d/daangn__seed-design.md,reports/korea-trending/repositories/daangn__seed-design.md,sources/daangn__seed-design
bgauryy/octocode,https://github.com/bgauryy/octocode,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,864,73,141,global,432,solid,source+report,1213,203,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,mcp;agentRuntime;eval;security;docs,,build;utility;quality;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/c/bgauryy__octocode.md,reports/global-trending/repositories/bgauryy__octocode.md,sources/bgauryy__octocode
Samsung/TizenRT,https://github.com/Samsung/TizenRT,general-ai-open-source,일반 AI 오픈소스,korea,C,642,633,119,korea,393,solid,source+report,15000,1663,128,12,monorepo;cli-first;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;docs;security;config,,,,scan truncated at 15000 files,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/9/Samsung__TizenRT.md,reports/korea-trending/repositories/Samsung__TizenRT.md,sources/Samsung__TizenRT
GeminiLight/MindOS,https://github.com/GeminiLight/MindOS,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,628,55,148,global,440,solid,source+report,2534,520,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,eval;agentRuntime;retrieval;entrypoints;docs,webRuntime;browserAutomation,utility;serve-dev;build;test;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/d/GeminiLight__MindOS.md,reports/global-trending/repositories/GeminiLight__MindOS.md,sources/GeminiLight__MindOS
matevip/mateclaw,https://github.com/matevip/mateclaw,agent-harness-mcp,에이전트 하네스/MCP,global,Java,624,199,151,global,441,solid,source+report,2899,705,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,agentRuntime;retrieval;eval;security;docs,,,,ci path not obvious,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/c/matevip__mateclaw.md,reports/global-trending/repositories/matevip__mateclaw.md,sources/matevip__mateclaw
GlitterKill/sdl-mcp,https://github.com/GlitterKill/sdl-mcp,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,369,22,165,global,459,solid,source+report,1707,194,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,eval;retrieval;mcp;agentRuntime;docs,agentProtocols;developerSurface;observability,utility;build;serve-dev;quality;test;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/9/GlitterKill__sdl-mcp.md,reports/global-trending/repositories/GlitterKill__sdl-mcp.md,sources/GlitterKill__sdl-mcp
w8123/EnterpriseAgentFramework,https://github.com/w8123/EnterpriseAgentFramework,agent-harness-mcp,에이전트 하네스/MCP,korea,Java,314,17,161,global;korea,449,emerging,source+report,1165,324,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,agentRuntime;eval;retrieval;security;docs,,,,ci path not obvious,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/5/w8123__EnterpriseAgentFramework.md,reports/global-trending/repositories/w8123__EnterpriseAgentFramework.md,sources/w8123__EnterpriseAgentFramework
zhimaAi/ChatClaw,https://github.com/zhimaAi/ChatClaw,agent-harness-mcp,에이전트 하네스/MCP,korea,Go,291,54,0,,223,emerging,source+report,1027,181,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,agentRuntime;retrieval;docs;mcp;eval,llmProviders;agentProtocols;modelRuntime;observability,,,ci path not obvious,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/1/zhimaAi__ChatClaw.md,reports/llm-wiki/repositories/zhimaAi__ChatClaw.md,sources/zhimaAi__ChatClaw
schmitech/orbit,https://github.com/schmitech/orbit,ai-infrastructure-serving,AI 인프라/서빙,global,Python,282,49,154,global,439,emerging,source+report,1331,236,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;docs;retrieval;security;entrypoints,,,,ci path not obvious,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/a/schmitech__orbit.md,reports/global-trending/repositories/schmitech__orbit.md,sources/schmitech__orbit
tetherto/qvac,https://github.com/tetherto/qvac,ai-infrastructure-serving,AI 인프라/서빙,global,TypeScript,255,71,141,global,423,solid,source+report,4009,929,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,eval;retrieval;docs;ci;agentRuntime,,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/8/tetherto__qvac.md,reports/global-trending/repositories/tetherto__qvac.md,sources/tetherto__qvac
xuiltul/animaworks,https://github.com/xuiltul/animaworks,llm-wiki-rag,LLM 위키/RAG/지식베이스,korea,Python,240,39,0,,225,solid,source+report,2785,505,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;model-runtime,eval;retrieval;agentRuntime;spec;docs,llmProviders;agentProtocols;vectorStores;modelRuntime;webRuntime,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/c/xuiltul__animaworks.md,reports/llm-wiki/repositories/xuiltul__animaworks.md,sources/xuiltul__animaworks
ozgurcd/gograph,https://github.com/ozgurcd/gograph,agent-harness-mcp,에이전트 하네스/MCP,global,Go,180,12,160,global,447,solid,source+report,355,111,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,retrieval;eval;docs;agentRuntime;mcp,agentProtocols,utility;build;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/c/ozgurcd__gograph.md,reports/global-trending/repositories/ozgurcd__gograph.md,sources/ozgurcd__gograph
codecentric/c4-genai-suite,https://github.com/codecentric/c4-genai-suite,agent-harness-mcp,에이전트 하네스/MCP,korea,TypeScript,171,20,167,global;korea,453,solid,source+report,1420,267,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;spec;retrieval;agentRuntime;security,,utility;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/3/codecentric__c4-genai-suite.md,reports/global-trending/repositories/codecentric__c4-genai-suite.md,sources/codecentric__c4-genai-suite
artokun/comfyui-mcp,https://github.com/artokun/comfyui-mcp,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,163,33,145,global,425,solid,source+report,414,85,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,agentRuntime;eval;docs;retrieval;spec,agentProtocols,build;serve-dev;test;quality;utility;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/a/artokun__comfyui-mcp.md,reports/global-trending/repositories/artokun__comfyui-mcp.md,sources/artokun__comfyui-mcp
SocketDev/socket-mcp,https://github.com/SocketDev/socket-mcp,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,117,33,148,global,426,solid,source+report,1820,724,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,agentRuntime;security;retrieval;config;eval,llmProviders;agentProtocols,utility;build;test;quality;serve-dev;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/SocketDev__socket-mcp.md,reports/global-trending/repositories/SocketDev__socket-mcp.md,sources/SocketDev__socket-mcp
joshuaswarren/remnic,https://github.com/joshuaswarren/remnic,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,87,15,145,global,420,solid,source+report,2408,315,128,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,eval;retrieval;docs;agentRuntime;security,llmProviders,utility;quality;build;serve-dev;test;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/2/joshuaswarren__remnic.md,reports/global-trending/repositories/joshuaswarren__remnic.md,sources/joshuaswarren__remnic
Beever-AI/beever-atlas,https://github.com/Beever-AI/beever-atlas,agent-harness-mcp,에이전트 하네스/MCP,korea,Python,0,0,73,korea,284,solid,source+report,1345,129,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;web-runtime,eval;retrieval;agentRuntime;docs;mcp,agentProtocols;vectorStores;webRuntime,utility;test;quality;serve-dev;container,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/8/Beever-AI__beever-atlas.md,reports/korea-trending/repositories/Beever-AI__beever-atlas.md,sources/Beever-AI__beever-atlas
browser-use/browser-use,https://github.com/browser-use/browser-use,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,182,solid,deep-source+report,496,100,128,12,cli-first;api/server;agent-runtime;mcp/protocol;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions;model-runtime,eval;ci;agentRuntime;docs;security,llmProviders;agentProtocols;agentFrameworks;modelRuntime;webRuntime;developerSurface;browserAutomation,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/2/browser-use__browser-use.md,reports/clone-structures/browser-use__browser-use.md,sources/browser-use__browser-use
mksglu/context-mode,https://github.com/mksglu/context-mode.git,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,179,solid,deep-source+report,562,105,128,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,eval;agentRuntime;retrieval;mcp;docs,agentProtocols,build;serve-dev;utility;quality;test;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/9/mksglu__context-mode.md,reports/clone-structures/mksglu__context-mode.md,sources/mksglu__context-mode
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,87393,11022,211,global,562,high-signal,deep-source+report,142,30,127,12,api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,agentRuntime;eval;config;docs;retrieval,agentProtocols,build;serve-dev;utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/5/modelcontextprotocol__servers.md,reports/global-trending/repositories/modelcontextprotocol__servers.md,sources/modelcontextprotocol__servers
zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,agent-harness-mcp,에이전트 하네스/MCP,korea,Python,45383,10206,177,global,510,high-signal,source+report,613,142,127,12,cli-first;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,docs;agentRuntime;retrieval;eval;instruction,developerSurface,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/d/zhayujie__CowAgent.md,reports/global-trending/repositories/zhayujie__CowAgent.md,sources/zhayujie__CowAgent
getzep/graphiti,https://github.com/getzep/graphiti,agent-harness-mcp,에이전트 하네스/MCP,mixed,Python,27553,2761,0,,261,high-signal,source+report,352,72,127,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;mcp;retrieval;ci;docs,llmProviders;agentFrameworks;modelRuntime;observability,utility;quality;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/6/getzep__graphiti.md,reports/llm-wiki/repositories/getzep__graphiti.md,sources/getzep__graphiti
Dicklesworthstone/mcp_agent_mail,https://github.com/Dicklesworthstone/mcp_agent_mail,agent-harness-mcp,에이전트 하네스/MCP,global,Python,1990,209,155,global,457,high-signal,source+report,287,34,127,12,api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions;web-runtime,eval;mcp;docs;security;agentRuntime,agentProtocols;webRuntime;developerSurface,utility;serve-dev;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/0/Dicklesworthstone__mcp_agent_mail.md,reports/global-trending/repositories/Dicklesworthstone__mcp_agent_mail.md,sources/Dicklesworthstone__mcp_agent_mail
vstorm-co/full-stack-ai-agent-template,https://github.com/vstorm-co/full-stack-ai-agent-template,agent-harness-mcp,에이전트 하네스/MCP,global,Python,1424,288,156,global,456,high-signal,source+report,880,248,127,12,cli-first;api/server;agent-runtime;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions;web-runtime,retrieval;eval;agentRuntime;security;docs,agentFrameworks;vectorStores;webRuntime;developerSurface,serve-dev,,,RAG/memory 구현과 검증 표면을 같이 가진 지식 시스템형 레포,reports/source-deep-dives/repositories/2/vstorm-co__full-stack-ai-agent-template.md,reports/global-trending/repositories/vstorm-co__full-stack-ai-agent-template.md,sources/vstorm-co__full-stack-ai-agent-template
getsentry/sentry-mcp,https://github.com/getsentry/sentry-mcp,eval-observability,평가/관측/품질,global,TypeScript,730,119,140,global,429,solid,source+report,777,135,127,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,mcp;agentRuntime;eval;security;docs,,quality;serve-dev;build;utility;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/getsentry__sentry-mcp.md,reports/global-trending/repositories/getsentry__sentry-mcp.md,sources/getsentry__sentry-mcp
scrypster/muninndb,https://github.com/scrypster/muninndb,llm-wiki-rag,LLM 위키/RAG/지식베이스,global,Go,301,71,135,global,415,solid,source+report,849,126,127,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;observability,eval;retrieval;security;docs;mcp,observability,utility;build;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/scrypster__muninndb.md,reports/global-trending/repositories/scrypster__muninndb.md,sources/scrypster__muninndb
BjornMelin/docmind-ai-llm,https://github.com/BjornMelin/docmind-ai-llm,ai-infrastructure-serving,AI 인프라/서빙,global,Python,132,24,140,global,415,solid,source+report,692,104,127,12,api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions;model-runtime,eval;docs;retrieval;spec;agentRuntime,llmProviders;agentFrameworks;vectorStores;modelRuntime;developerSurface;observability,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/0/BjornMelin__docmind-ai-llm.md,reports/global-trending/repositories/BjornMelin__docmind-ai-llm.md,sources/BjornMelin__docmind-ai-llm
caura-ai/caura-memclaw,https://github.com/caura-ai/caura-memclaw,agent-harness-mcp,에이전트 하네스/MCP,global,Python,127,12,172,global,460,solid,source+report,802,82,127,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;web-runtime,eval;retrieval;agentRuntime;security;docs,llmProviders;agentProtocols;vectorStores;webRuntime;browserAutomation,test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/e/caura-ai__caura-memclaw.md,reports/global-trending/repositories/caura-ai__caura-memclaw.md,sources/caura-ai__caura-memclaw
iikarus/Dragon-Brain,https://github.com/iikarus/Dragon-Brain,agent-harness-mcp,에이전트 하네스/MCP,korea,Python,48,7,0,,211,solid,source+report,352,33,127,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;retrieval;docs;spec;security,llmProviders;agentProtocols;vectorStores;modelRuntime;webRuntime,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/f/iikarus__Dragon-Brain.md,reports/llm-wiki/repositories/iikarus__Dragon-Brain.md,sources/iikarus__Dragon-Brain
